Company Name,Domain,Vertical,Country,Tech Spend ($),Monthly Visits,Has Case Study Match,Emails,Phones,Social Links
CupraOfficial,cupraofficial.fi,Finance,FI,19665,,No,,,instagram.com/cupra.fi; vimeo.com/cupraofficial
,vivendocomdiabetes.com.br,Health And Fitness,,19655,,No,,,
Villanova University,villanova.edu,Education,US,19650,,No,alumni@villanova.edu; webmaster@villanova.edu,+1-610-519-4500; +1-610-519-6000,twitter.com/villanovau; facebook.com/villanovau
Esri Inc,hnit-baltic.lt,Technology And Computing,,19619,,No,,,
,landisgyr.si,Automotive And Vehicles,,19603,,No,,+1-678-258-1321,twitter.com/landisgyr; facebook.com/landisgyr
,landisgyr.lv,Business And Industrial,,19603,,No,,,twitter.com/landisgyr; facebook.com/landisgyr
,landisgyr.es,Automotive And Vehicles,BR,19603,,No,,+34-954-998820,twitter.com/landisgyr; facebook.com/landisgyr
Stanford Health Care,stanfordhealthcare.com,Unknown,,19600,,No,,,twitter.com/stanfordhealth; facebook.com/stanfordhealthcare
Daikin Europe N.V,daikineurope.com,Business And Industrial,,19528,,No,info@daikineurope.com,,twitter.com/daikineurope; facebook.com/daikineurope
Allianz Hrvatska d.d,allianz.hr,"Law, Govt And Politics",HR,19470,,No,,+1-650-426-5112; +1-866-893-6565,facebook.com/allianz.hr; youtube.com/user/allianz
LGCNS,lgcns.com,Business And Industrial,KR,19451,,No,webmaster@lgcns.com; marketing@lgcns.com,+1-512-876-0096; +1-201-816-3157,twitter.com/lgcnshealthcare; facebook.com/lgcnskorea
InvoCare Australia Pty Ltd,lesterandson.com.au,Technology And Computing,AU,19415,,No,enquiries@lesterandson.com.au,+61-260-561700,facebook.com/lesterandson
,imunologiabms.com.br,,,19400,,No,,,
,stanfordhealthcareballot.com,"Law, Govt And Politics",,19400,,No,,,
Japan IT Co. Ltd,japan-it.jp,Education,JP,19354,,No,,,twitter.com/japanitweek; facebook.com/japanitweek
RX Japan Ltd,wsew.jp,Business And Industrial,JP,19354,,No,,,
Japan Freight Express Co. Ltd,jfex.jp,Unknown,JP,19354,,No,,,twitter.com/jfex_rx; facebook.com/jfex.rx
RX Japan Ltd,fiweek.jp,Unknown,JP,19354,,No,,,
DuPont,dupont.mx,Business And Industrial,MX,19325,,No,,,twitter.com/dupont_news; facebook.com/dupontco
ImmoScout24,immobilienscout24.at,Health And Fitness,AT,19324,,No,support@immobilienscout24.at; info@immobilienscout24.at,,facebook.com/immobilienscout24oesterreich
KIA MOTORS DEUTSCHLAND GmbH,kia-korn-schwenk-kulmbach.de,Technology And Computing,DE,19300,,No,,,
KIA MOTORS DEUTSCHLAND GmbH,kia-bulenda-wesel.de,Technology And Computing,DE,19300,,No,,+49-281-560210,
KIA DEUTSCHLAND GmbH,kia-koenig-teltow.de,Technology And Computing,DE,19300,,No,,,
Kia Deutschland GmbH,kia-kunzmann-gelnhausen.de,Technology And Computing,DE,19300,,No,,,
KIA MOTORS DEUTSCHLAND GmbH,kia-burian-peine.de,Technology And Computing,DE,19300,,No,,+49-5171-950500,
Kia Schmitz GmbH Co. KG,kia-schmitz-dinslaken.de,Technology And Computing,DE,19300,,No,,+49-2064-609720,
Kia Durkop Braunschweig GmbH,kia-duerkop-braunschweig.de,Technology And Computing,DE,19300,,No,,,facebook.com/duerkop.de; instagram.com/duerkop.de
KIA MOTORS DEUTSCHLAND GmbH,kia-billwiller-biberach.de,Technology And Computing,DE,19300,,No,,,
Kia Reckhaus Erwitte GmbH & Co. KG,kia-reckhaus-erwitte.de,Technology And Computing,DE,19300,,No,,,
,devnoveljewels.com,Unknown,IN,19300,,No,,,
KIA MOTORS DEUTSCHLAND GmbH,kia-dinnebier-berlin-spandau.de,Technology And Computing,DE,19300,,No,,+49-30-35107197,instagram.com/dinnebiergruppe.de
Kia Wagner GmbH & Co. KG,kia-wagner-gladbeck.de,Technology And Computing,CH,19300,,No,,,
KIA Engbert GmbH & Co. KG,kia-engbert-datteln.de,Technology And Computing,DE,19300,,No,,,
CARIAD,cariad.technology,Business And Industrial,DE,19200,,No,media@cariad.technology,,twitter.com/cariad_tech; linkedin.com/company/cariad-tech
Tool Japan Co. Ltd,tooljapan.jp,Home And Garden,JP,19197,,No,,,facebook.com/tooljapan.reedexpo; instagram.com/tooljapan_rx
Drinkjapan Inc,drinkjapan.jp,Food And Drink,JP,19197,,No,,,
RX Japan Ltd,amlex.jp,Unknown,JP,19197,,No,,,
LAVAZZA S.p.A,lavazza.co.uk,Food And Drink,GB,19050,,No,,+44-1895-209750; +44-207-1010686,twitter.com/lavazza; facebook.com/lavazza
,h2oai.com,Unknown,AU,19033,,No,,,twitter.com/h2oai; linkedin.com/company/h2oai
Evonik Industries AG,evonik.com,Business And Industrial,DE,19023,,No,,+1-215-706-5801,twitter.com/evonik; facebook.com/evonik
Fred Hutchinson Cancer Center,fredhutch.org,Science,US,19006,,No,communications@fredhutch.org; library@fredhutch.org,+1-206-667-6221; +1-800-424-9153,twitter.com/fredhutch; facebook.com/hutchinsoncenter
ANZ New Zealand Investments Ltd,mflmutual.co.nz,Finance,,18997,,No,,,
LATEST NEWS A man ,library.sydney.edu.au,Unknown,AU,18900,,No,,,
ETHZ - ETH Zurich,ethz.ch,Unknown,CH,18790,,No,,,
Servizio Elettrico Nazionale SpA,servizioelettriconazionale.it,"Law, Govt And Politics",IT,18720,,No,,,
,optimumgly.ca,,,18700,,No,,,
PLEGRIDY inc,plegridy.com,Health And Fitness,US,18700,,No,,+1-800-456-2255; +1-866-418-2859,
,buickgmcanzures.com.mx,Automotive And Vehicles,MX,18697,,No,,,
,portzamparc.bnpparibas,Unknown,,18617,,No,,,x.com/portzamparcbnpp; linkedin.com/company/portzamparcgroupe-bnpparibas
,bnpparibasdeveloppement.com,Business And Industrial,FR,18617,,No,,,
,avocats.deloitte.com,,US,18500,,No,,,
Severn Trent Water,stwater.co.uk,Food And Drink,GB,18492,,No,,+44-34-57500500; +44-800-7834444,twitter.com/stwater; youtube.com/user/stwaterweb
,aramark-stage.es,,,18475,,No,,,
,aramark-stage.cz,,,18475,,No,,,
,aramark-stage.ca,,,18475,,No,,,
,aramark-stage.cl,,,18475,,No,,,
investor.accenture.com,investor.accenture.com,Unknown,US,18433,,No,,,twitter.com/accenture; facebook.com/accenture
,ahlconindia.com,Business And Industrial,IN,18427,,No,info@ahlconindia.com,,
Reed Exhibitions Ltd,wtm.com,Travel,SA,18364,,No,,+1-208-271-2171; +1-208-271-2158,facebook.com/wtmlatinamerica; instagram.com/wtm_latin_america
Enterprise Holdings Inc,enterpriserentacar.com.au,Technology And Computing,AU,18300,,No,,+61-28-3032293; +61-300-035807,facebook.com/enterpriserentacarausnz
Bridgestone Corporation,bridgestone.ie,Business And Industrial,FR,18240,,No,,,twitter.com/bridgestoneblog; facebook.com/bridgestone.ireland
,mybekaert.com,Unknown,,18231,,No,,+1-678-383-2060,twitter.com/bekaert; facebook.com/bekaertwire
,gaes.com.ar,Unknown,AR,18222,,No,,,facebook.com/gaesargentina
Ziff Davis LLC,co-stage.norton.com,Unknown,,18200,,No,,,twitter.com/norton; facebook.com/norton
Suncorp Stadium is,suncorpstadium.com.au,Business And Industrial,AU,18150,,No,members@suncorpstadium.com.au; info@suncorpstadium.com.au,+61-73-3315000; +61-4-38717807,facebook.com/suncorpstadium; instagram.com/suncorpstadium
Nextera Energy Services,nexteraenergyservices.com,Business And Industrial,US,18071,,No,custserv@nexteraenergyservices.com; unsubscribe@nexteraenergyservices.com,+1-855-262-3596; +1-800-882-1276,facebook.com/nexteraenergyservices; linkedin.com/company/nextera-energy-services
Lavazza RO,lavazza.ro,Food And Drink,RO,18050,,No,,,twitter.com/lavazza; facebook.com/lavazza
Lavazza SG,lavazza.sg,Food And Drink,IT,18050,,No,,,twitter.com/lavazza; facebook.com/lavazza
Lavazza SV,lavazza.se,Business And Industrial,SE,18050,,No,,,twitter.com/lavazza; facebook.com/lavazza
Lavazza PT,lavazza.pt,Food And Drink,PT,18050,,No,,,twitter.com/lavazza; facebook.com/lavazza
MG Motor India Pvt. Ltd,mgmeerut.co.in,Business And Industrial,IN,17931,,No,,,
Mg Bharuch Pvt. Ltd,mgbharuch.co.in,Business And Industrial,IN,17931,,No,,,
MG Motor India Pvt. Ltd,mgkaithal.co.in,Business And Industrial,IN,17931,,No,,,
Minecraft,minecraft.net,Art And Entertainment,US,17906,,No,,+1-425-882-8080; +1-425-672-0798,facebook.com/minecraft; twitter.com/minecraft
MG Motor India Pvt. Ltd,mgnavimumbai.co.in,Business And Industrial,IN,17900,,No,,,
,mgkalyan.co.in,,,17900,,No,,,
Mgvellore.co.in,mgvellore.co.in,Business And Industrial,IN,17900,,No,,,
,mghosur.co.in,,,17900,,No,,,
Gridspertise,gridspertise.com,Business And Industrial,,17900,,No,,,twitter.com/gridspertise; linkedin.com/company/gridspertise
,imfigeur.org,,,17900,,No,,,
Marriott Se,hotel-development.marriott.com,Unknown,US,17870,,No,,,twitter.com/marriottbonvoy; instagram.com/marriottbonvoy
,sinaisraros.com.br,,,17800,,No,,,
,novonordisk-trials.us,Unknown,DK,17800,,No,,,
Emdserono Canada,emdserono.ca,Science,CA,17799,,No,,+1-905-919-0299; +1-905-919-0200,
,amedidadoabraco.com.br,Unknown,,17680,,No,,,instagram.com/amedidadoabraco
Ziff Davis LLC,cz.norton.com,Unknown,,17600,,No,,,twitter.com/norton; facebook.com/norton
Fiat Group Automobiles S.p.A,fiat-india.com,Automotive And Vehicles,PH,17600,,No,,+61-72-0082013,twitter.com/fiatindia; facebook.com/fiat.india
Norton inc,ar-stage.norton.com,Unknown,,17600,,No,,,twitter.com/norton; facebook.com/norton
DuPont Polymers Inc,dupont.es,Business And Industrial,AU,17555,,No,,+34-985-124000,twitter.com/dupont_news; facebook.com/dupontco
DuPont Chile,dupont.cl,Finance,,17555,,No,,,facebook.com/dupontco; linkedin.com/company/dupont
DuPont,dupont.hk,Business And Industrial,HK,17555,,No,,,twitter.com/dupont_news; facebook.com/dupontco
DuPont,dupont.ae,Business And Industrial,AE,17555,,No,,,twitter.com/dupont_news; facebook.com/dupontco
Clube Giro,clubegiro.com.br,Art And Entertainment,BR,17540,,No,,,facebook.com/clube.giro.oficial; instagram.com/clubegiro.oficial
Reed Exhibitions Ltd,londonbookfair.co.uk,Art And Entertainment,GB,17447,,No,,+44-79-17593314; +44-75-57584360,twitter.com/londonbookfair; facebook.com/thelondonbookfairexhibition
MARRIOTT CO,corporatedealset.marriott.com,Unknown,US,17381,,No,,,twitter.com/marriottbonvoy; facebook.com/marriottbonvoy
,qnityelectronics.com,Unknown,,17365,,No,,,linkedin.com/company/qnityelectronics
Franke Group,artemis-holding.com,Real Estate,,17307,,No,,,
,mercedes-benz-yokohama-higashi.jp,Unknown,JP,17300,,No,,,facebook.com/mercedesbenz.jp; instagram.com/mercedesbenzjapan
,mercedes-benz-nishinomiya.jp,Unknown,JP,17300,,No,,,facebook.com/mercedesbenz.jp; instagram.com/mercedesbenzjapan
,mercedes-benz-chofu.jp,Unknown,JP,17300,,No,,,facebook.com/mercedesbenz.jp; instagram.com/mercedesbenzjapan
,mercedes-benz-okayamanishi.jp,,,17300,,No,,,
Skip to main co,rise-aem-perf.scholastic.com,Unknown,US,17300,,No,,,twitter.com/scholastic; facebook.com/scholastic
,mercedes-benz-hirakata.jp,Unknown,JP,17300,,No,,,facebook.com/mercedesbenz.jp; instagram.com/mercedesbenzjapan
,mercedes-benz-nishitokyo.com,Unknown,JP,17300,,No,,+61-4-24710020,facebook.com/mercedesbenz.nishitokyo; instagram.com/mercedesbenz_nishitokyo
,mercedes-benz-sendaihigashi.jp,Unknown,JP,17300,,No,,,twitter.com/mercedesbenz_jp; facebook.com/mercedesbenz.jp
,mercedes-benz-sennonji.jp,Unknown,JP,17300,,No,,,twitter.com/mercedesbenz_jp; facebook.com/mercedesbenz.jp
,mercedes-benz-konosu.jp,Unknown,JP,17300,,No,,,facebook.com/mercedesbenz.jp; instagram.com/mercedesbenzjapan
,mercedes-benz-saitamachuo.jp,,,17300,,No,,,
,mercedes-benz-sapporonishi.jp,Unknown,JP,17300,,No,,,facebook.com/mercedesbenz.jp; instagram.com/mercedesbenzjapan
,mercedes-benz-tokyoshibaura.jp,,,17300,,No,,,
,mercedes-benz-nagaoka.jp,Unknown,JP,17300,,No,,,facebook.com/mercedesbenz.jp; instagram.com/mercedesbenzjapan
,mercedes-benz-tsuruga.jp,Unknown,JP,17300,,No,,,youtube.com/user/mercedesbenzjapan; facebook.com/mercedesbenz.turuga
,mercedes-benz-kishiwada.jp,Unknown,JP,17300,,No,,,facebook.com/mercedesbenz.jp; instagram.com/mercedesbenzjapan
,mercedes-benz-kobechuo.jp,Unknown,JP,17300,,No,,,facebook.com/mercedesbenz.jp; instagram.com/mercedesbenzjapan
FleetcardsUSA,fleetcardsusa.com,Business And Industrial,US,17300,,No,info@fleetcardsusa.com,+18007623961; +18006333271,facebook.com/fleetcardsusa; instagram.com/fleetcardsusa
,mercedes-benz-fukuokachuo.jp,Unknown,JP,17300,,No,,,facebook.com/mercedesbenz.jp; instagram.com/mercedesbenzjapan
,mercedes-benz-kashiwa.jp,Unknown,JP,17300,,No,,,youtube.com/user/mercedesbenzjapan; instagram.com/mercedesbenzjapan
,np-kanagawa.nissan-dealer.jp,,JP,17140,,No,,,
,shop-perf.scholastic.com,,US,17134,,No,,,
,pacient-sma.cz,,,17100,,No,,,
csr-marriott,serve360.marriott.com,Unknown,US,17078,,No,,,twitter.com/marriottbonvoy; facebook.com/marriottbonvoy
,landisgyr.fr,Automotive And Vehicles,BR,17060,,No,,+33-1-56058597,twitter.com/landisgyr; facebook.com/landisgyr
Shell PLC,shell.com.mx,Business And Industrial,MX,17035,,No,,,facebook.com/shell; linkedin.com/company/shell
,landisgyr.fi,Automotive And Vehicles,BR,17020,,No,,+1-678-258-1321,twitter.com/landisgyr; facebook.com/landisgyr
Conoco Inc.,conoco.com,Travel,US,17000,,No,,+1-800-686-1067; +1-855-659-9789,twitter.com/conoco; facebook.com/conoco
iltm.com,iltm.com,Travel,GB,16937,,No,,+1-208-910-7910; +33-8-35865655,twitter.com/iltm_events; facebook.com/iltmevents
"Allianz - Slovenska poistovna, a.s",allianz.sk,Society,SK,16920,,No,,,instagram.com/allianzsk; facebook.com/allianzsk
Popsicle Foods,popsicle.com,Food And Drink,US,16828,,No,,+1-212-692-1020; +1-800-643-4645,twitter.com/popsicle; facebook.com/popsicle
Marriott International Inc,courtyard.marriott.com,Unknown,US,16825,,No,,,twitter.com/marriottbonvoy; instagram.com/marriottbonvoy
Volkswagen Group,volkswagengroup.it,Automotive And Vehicles,IT,16800,,No,privacy@volkswagengroup.it,,linkedin.com/company/volkswagen-group-italia
,mastercard.gr,Pets,US,16800,,No,,,twitter.com/mastercardnews; facebook.com/mastercardgreece
Mastercard,mastercard.hu,Pets,US,16800,,No,,+1-800-627-8372,twitter.com/mastercardhu; facebook.com/mastercardmagyarorszag
Mastercard,mastercard.no,Pets,,16800,,No,,,facebook.com/mastercardno; linkedin.com/company/mastercard
Mastercard Group,mastercard.md,Technology And Computing,US,16800,,No,,+1-636-722-7111,twitter.com/mastercard; facebook.com/mastercardus
,mastercard.me,Unknown,,16800,,No,,,facebook.com/mastercardsrbija; instagram.com/mastercardrs
,betvibe-in.net,,,16785,,No,,,
,sikkenscv.com,Technology And Computing,,16778,,No,,,
Colgate-Palmolive Company,colgate.hr,Health And Fitness,HR,16733,,No,,,facebook.com/colgateuk; youtube.com/user/colgateuk
,landisgyr.sk,Automotive And Vehicles,BR,16710,,No,,+1-678-258-1321,twitter.com/landisgyr; instagram.com/landisgyr
,landisgyr.nl,Business And Industrial,BR,16710,,No,,+31-182-540888,twitter.com/landisgyr; facebook.com/landisgyr
,landisgyr.ch,Automotive And Vehicles,BR,16710,,No,,+1-678-258-1321; +49-911-7237036,twitter.com/landisgyr; facebook.com/landisgyr
,landisgyr.dk,Automotive And Vehicles,BR,16710,,No,,+1-678-258-1321,twitter.com/landisgyr; facebook.com/landisgyr
,prks.com.au,Unknown,AU,16707,,No,info@prks.com.au,+61-39-7009100,
Phillips 66,phillips66gas.com,Business And Industrial,US,16650,,No,,+1-800-527-5476; +1-855-659-9789,facebook.com/phillips66gas; instagram.com/phillips66gas
,hfsonline.com.au,,,16620,,No,,,
Wind Tre S.p.A,tre.it,Technology And Computing,IT,16600,,No,,,instagram.com/tre_it; facebook.com/windtre
,wincheckr.be,,,16565,,No,,,
,averdadesobreopeso.pt,,,16555,,No,,,
Moog Inc,moog.it,Business And Industrial,IT,16542,,No,,,twitter.com/moog_industrial; facebook.com/moogindustrial
,ni-kagoshima.nissan-dealer.jp,,JP,16500,,No,,,
,accounts.illinois.gov,,US,16500,,No,,,
TELEFONICA DE ESPANA SA,telefonicaempresas.es,Unknown,ES,16450,,No,,,facebook.com/telefonicaempresasesp; instagram.com/telefonicaempresas
Saccom Group,batimat.com,Business And Industrial,FR,16447,,No,info@batimat.com,+33-2-92956988; +33-1-47565152,facebook.com/batimatparis; instagram.com/batimat_official
,mip-china.com,Business And Industrial,,16447,,No,,,
MAPIC - Italy,mapic-italy.it,Business And Industrial,IT,16447,,No,,+39-02-43517098,facebook.com/mapic.official; twitter.com/mapicitaly
WorldTravelCateringExpo,worldtravelcateringexpo.com,Art And Entertainment,GB,16447,,No,,+1-203-840-5931; +1-208-910-7910,
National Comprehensive Cancer Network Inc,onuregpro.com,Unknown,,16400,,No,,+1-800-721-8909,
,zeposiaespanol.com,Technology And Computing,,16400,,No,,+1-800-721-8909; +1-877-301-9314,facebook.com/zeposia; instagram.com/zeposia_ozanimod
Sun Pharmaceutical Industries Inc,bromsite.com,Business And Industrial,,16400,,No,,+1-800-818-4555,
HousecallsVisits Inc,housecallsvisit.com,Home And Garden,,16397,,No,,,
,duluxtrade.co.za,Business And Industrial,ZA,16382,,No,,,twitter.com/duluxsa; facebook.com/dulux
smart529,smart529.com,Finance,US,16295,,No,,+1-866-574-3542; +1-304-558-5000,facebook.com/smart529; linkedin.com/company/smart529
,commerce-proxyamds.site,,,16200,,No,,,
"Alfa Romeo,Alfa Romeo",alfaromeo-lebanon.com,Automotive And Vehicles,US,16200,,No,,+9611877222,facebook.com/alfaromeolb; instagram.com/alfaromeolebanon
,alfaromeo-bd.com,Automotive And Vehicles,,16200,,No,,,
YYYY Colgate-Palmolive Company,colgate.ie,Health And Fitness,IE,16196,,No,,,twitter.com/colgateuk; facebook.com/colgateuk
Abbott Laboratories,th.abbott,Business And Industrial,US,16150,,No,,,facebook.com/abbott; linkedin.com/company/abbott-
,medicalaffairs.abbott,Science,,16150,,No,,,
Wetrust-Study,wetrust-study.com,Education,,16150,,No,,,
,bhoptions.com,Unknown,US,16110,,No,,+1-702-364-1484; +1-800-873-2246,
,landisgyr.lt,Business And Industrial,,16103,,No,,,twitter.com/landisgyr; facebook.com/landisgyr
,welcometorochems.co.uk,,,16100,,No,,,
,isabel-serrano.herbalife.com,,,16067,,No,,,
,kelly.herbalife.com,,US,16067,,No,,,
,core.herbalife.com,,US,16050,,No,,,
SoluForce B.V.,soluforce.com,Business And Industrial,NL,15895,,No,info@soluforce.com,,linkedin.com/company/soluforce; facebook.com/soluforce
All Covered Inc,allcovered.com,Technology And Computing,US,15876,,No,careers@allcovered.com; press@allcovered.com,+1-866-446-1133; +1-877-224-8912,twitter.com/allcovered; youtube.com/user/allcoveredinc
,pedragonchevroletsp.com.br,Unknown,US,15837,,No,,,instagram.com/pedragonchevroletsp
,riocarchevroletpetrolina.com.br,Automotive And Vehicles,BR,15837,,No,,,instagram.com/riocarchevrolet
,supervelveiculoschevrolet.com.br,Unknown,,15837,,No,,,facebook.com/supervel; instagram.com/supervel.veiculos
,ondigtallacps.online,,,15817,,No,,,
,myamltreatment.com.au,Health And Fitness,AU,15800,,No,,,
United HealthCare Services Inc,myulicnyfp.com,Unknown,,15800,,No,,,
Abbott Laboratories,abbott.com.sg,Style And Fashion,SG,15800,,No,,,twitter.com/abbottnews; facebook.com/abbott
cloudLibrary,yourcloudlibrary.com,Art And Entertainment,,15796,,No,,,instagram.com/cloudlibrary_app; threads.com/@cloudlibrary_app
Casco - Limmar Faster Fogar,casco.se,Technology And Computing,SE,15790,,No,,,youtube.com/user/cascosverige
Simple Skincare,simpleskincare.com,Health And Fitness,US,15757,,No,,+1-212-692-1020; +1-866-752-4602,twitter.com/simpleskincare; facebook.com/simpleskincare
,ncmedicaidplans.gov,Technology And Computing,US,15750,,No,,+1-833-870-5588; +1-877-201-3750,
,durystasavingsprogram.com,,,15735,,No,,,
,botoxoveractivebladder.com,,,15735,,No,,,
Astellas Pharma Ltd,evrenzo.nl,Technology And Computing,NL,15707,,No,,+31-71-5455745,
September Astellas Pharma Inc,evrenzo.eu,Unknown,ES,15700,,No,,,
,scjyfz.com,,,15700,,No,,,
Pierer Industrie AG,husqvarna-bicycles.com,Business And Industrial,AT,15640,,No,,,facebook.com/husqvarna.bicycles; instagram.com/husqvarna.bicycles
Boston Scientific Corporation,treattheheart.com,Health And Fitness,,15628,,No,,,
,danmar.herbalife.com,,,15620,,No,,,
YYYY Colgate Palmolive Company,colgate.ng,Unknown,NG,15599,,No,,,twitter.com/colgate_ng; facebook.com/colgatengn
Colgate-Palmolive,colgate.no,Finance,NO,15599,,No,,,facebook.com/colgate; youtube.com/user/colgateuk
Colgate-Palmolive,colgate.az,Unknown,AZ,15599,,No,,,
,colgateprofissional.pt,,,15599,,No,,,
Sanex,sanex.nl,Sports,NL,15599,,No,,,instagram.com/sanexnl
,dunlet.dk,Unknown,DK,15599,,No,,,
YYYY Colgate Palmolive Company,colgate.hu,Unknown,,15599,,No,,+1-801-265-4283; +1-800-468-6502,twitter.com/colgateuk; facebook.com/colgateuk
Colgate Palmolive Company,palmolive.ph,Business And Industrial,,15599,,No,,,facebook.com/palmolivenaturals; instagram.com/palmoliveanz
STIHL Inc,stihlusa.com,Technology And Computing,US,15530,,No,,,facebook.com/stihlusa; youtube.com/user/stihlusa
Bristol-Myers Squibb GmbH,psoriasis-initiative-ich.de,Science,,15500,,No,,,
"Allianz, Seguros",allianz.pt,"Law, Govt And Politics",PT,15470,,No,info@allianz.pt,,twitter.com/allianzportugal; facebook.com/allianzportugal
Activision Publishing Inc,highmoonstudios.com,Education,US,15460,,No,hello@highmoonstudios.com,+1-760-448-3000,instagram.com/highmoonstudios; youtube.com/user/highmoonstudios
,qibc.cn,Unknown,CN,15400,,No,,,
,sparkassenverband.at,Travel,,15350,,No,,,youtube.com/user/erstebanksparkasse
Exemplis Corporation,exemplis.com,Business And Industrial,US,15307,,No,contactus@exemplis.com,+1-714-995-5933; +1-714-995-4800,
,thenutritionmission.herbalife.com,,US,15270,,No,,,
,mariaballester.herbalife.com,,US,15270,,No,,,
,tshebenik.herbalife.com,,US,15270,,No,,,
,jfiore.herbalife.com,,,15270,,No,,,
,shanaford.herbalife.com,,US,15270,,No,,,
,alexisdickens.herbalife.com,,,15270,,No,,,
,herbanutricion.herbalife.com,,US,15270,,No,,,
,resultswithlauren.herbalife.com,,US,15270,,No,,,
,niscowalker.herbalife.com,,US,15270,,No,,,
,rc24fit.herbalife.com,,US,15270,,No,,,
,stockfit7.herbalife.com,,US,15270,,No,,,
,herbaloulet.herbalife.com,,US,15270,,No,,,
,lynnecongreve.herbalife.com,,US,15270,,No,,,
,richardhowlett.herbalife.com,,US,15270,,No,,,
,andreahale.herbalife.com,,,15270,,No,,,
,coachshawn.herbalife.com,,US,15270,,No,,,
,hlfshop.herbalife.com,,US,15270,,No,,,
NSK Ltd.,nsk.com,Technology And Computing,US,15222,,No,,,facebook.com/nsk.ltd; youtube.com/user/nskmotionandcontrol
Toyota Finance Australia Ltd,toyotafinanceonline.com.au,Automotive And Vehicles,AU,15220,,No,,,
Apartment Income REIT Corp,aircommunities.com,Careers,US,15200,,No,,+1-303-757-8101; +1-800-877-8339,instagram.com/air.communities; finance.yahoo.com/quote/AIRC/
Prudential IP Services Ltd,prudentialplc.com,Business And Industrial,GB,15139,,No,,,twitter.com/prudentialplc; linkedin.com/company/prudentialplc
,isp.illinois.gov,Unknown,US,15100,,No,,,linkedin.com/company/illinoisstatepolice
EVRENZO co,evrenzo.fi,Unknown,FI,15100,,No,,,
EVRENZO co,evrenzo.dk,Unknown,DK,15100,,No,,,
Progress Rail Services Corporation,progressrail.com,Business And Industrial,US,15060,,No,info@progressrail.com,+1-800-476-8769; +1-256-593-1260,twitter.com/progress_rail; linkedin.com/company/progress-rail-services
Viking River Cruises Inc,viking.com,Technology And Computing,US,15009,,No,,,twitter.com/viking_chat; facebook.com/vikingcruises
Basil Toyota,basiltoyota.com,Automotive And Vehicles,US,15004,,No,,+1-716-625-8444,twitter.com/basiltoyota; facebook.com/basiltoyota
,venoferhcp.com,Unknown,US,14978,,No,,+1-800-323-5188; +1-781-699-9000,
Unox NV,unox.nl,Food And Drink,NL,14921,,No,,+318002358669,instagram.com/unoxnl; youtube.com/user/unoxnederland
Bridgestone SchlieAYen,bridgestone.de,Automotive And Vehicles,DE,14905,,No,,+44-800-0266267,twitter.com/bridgestonetyre; facebook.com/bridgestoneemia
,serinosports.com,Unknown,US,14839,,No,,,facebook.com/serinosports; instagram.com/serinosports
,ni-hamamatsu.nissan-dealer.jp,,JP,14800,,No,,,
,scotiaprivateclientgroup.com,Unknown,,14800,,No,,,
,ni-mie.nissan-dealer.jp,,JP,14800,,No,,,
DHL International GmbH,ondemand.dhl.com,Unknown,DE,14800,,No,,,twitter.com/dhlglobal; instagram.com/dhl_global
Leioa Motor,leioamotor.es,Automotive And Vehicles,ES,14800,,No,,+34-676-407086; +34-944-819011,twitter.com/leioamotor; facebook.com/leioamotor
,np-nagasaki.nissan-dealer.jp,,JP,14800,,No,,,
,westpaciq.com.au,Unknown,,14800,,No,,,linkedin.com/company/westpac-institutional-bank
,np-kochi.nissan-dealer.jp,,JP,14800,,No,,,
,ni-matsumoto.nissan-dealer.jp,,,14800,,No,,,
,zhansuan.com,,,14757,,No,,,
BREZTRI co,breztri.com,Health And Fitness,,14738,,No,,+1-800-236-9933,
Champion Home Builders Inc,silvercrest.com,Business And Industrial,US,14732,,No,,+1-800-382-0709; +1-877-340-7691,facebook.com/silvercresthomes; instagram.com/silvercresthomes
Capquest Group,capquest.co.uk,Finance,GB,14690,,No,customers@capquest.co.uk,+44-33-39997200; +44-30-01239123,
Kanebo Cosmetics Inc,nomorerules.net,Unknown,JP,14600,,No,,,
Bridgestone Corporation,bridgestone.it,Sports,IT,14587,,No,,,twitter.com/bridgestonetyre; facebook.com/bridgestone.italia
,tobinscanberrafunerals.com.au,Technology And Computing,AU,14565,,No,,+61-262-952799; +61-300-363292,youtube.com/user/tobincanberrafuneral
Banco de Galicia y Buenos Aires S.A.U,galiciasecurities.com.ar,Unknown,AR,14565,,No,,,
Somerville Funerals,somervillefunerals.com.au,Technology And Computing,AU,14565,,No,,+61-800-621234; +61-300-363292,
Lavazza ZA,lavazza.co.za,Food And Drink,ZA,14550,,No,,,twitter.com/lavazza; facebook.com/lavazza
Bridgestone Corporation,bridgestone.hu,Unknown,HU,14547,,No,,,twitter.com/bridgestonetyre; facebook.com/bridgestoneemia
,stg01.herbalife.com,,US,14450,,No,,,
,globalhealthsaudi.com,Unknown,GB,14402,,No,sales@globalhealthsaudi.com; info@globalhealthsaudi.com,,twitter.com/healthsaudiexpo; facebook.com/globalhealthsaudi
Reed Exhibitions Ltd,expolux.com.br,Art And Entertainment,BR,14400,,No,,,facebook.com/expolux; instagram.com/expolux_oficial
Oceanology International Americas,oceanologyinternationalamericas.com,Business And Industrial,US,14400,,No,,+44-208-9107162; +44-1202-669244,facebook.com/oceanologyinternational; linkedin.com/company/oceanology-international
