Rank,Company,Domain,Vertical,Country,ICP Tier,ICP Score,Monthly Visits,Tech Spend,Has Case Study Match
301,,mercedes-benz-weippert.de,Automotive And Vehicles,DE,Tier 1,50,,7000,No
302,,mercedes-benz-nord-ostsee.de,Automotive And Vehicles,DE,Tier 1,50,,7000,No
303,Daimler Truck AG,mercedes-benz-trucks-reich-kfz.at,Automotive And Vehicles,AT,Tier 1,50,,7000,No
304,Daimler Truck AG,mercedes-benz-trucks-haan.de,Automotive And Vehicles,DE,Tier 1,50,,7000,No
305,Daimler Truck AG,mercedes-benz-trucks-werner.de,Automotive And Vehicles,DE,Tier 1,50,,7000,No
306,Mercedes Benz Group,mercedes-benz-geneve.ch,Automotive And Vehicles,CH,Tier 1,50,,7000,No
307,Daimler Truck AG,mercedes-benz-trucks-merbag-uetendorf.ch,Automotive And Vehicles,CH,Tier 1,50,,7000,No
308,Daimler Truck AG,mercedes-benz-trucks-thorwesten.de,Automotive And Vehicles,DE,Tier 1,50,,7000,No
309,Daimler Truck AG,mercedes-benz-trucks-emilfrey-mainfranken.de,Automotive And Vehicles,DE,Tier 1,50,,7000,No
310,Daimler Truck AG,mercedes-benz-trucks-euro-trucks-claes.be,Automotive And Vehicles,,Tier 1,50,,7000,No
311,Daimler Truck AG,mercedes-benz-trucks-peters.de,Automotive And Vehicles,DE,Tier 1,50,,7000,No
312,,mercedes-benz-schreiner-woellenstein.de,Automotive And Vehicles,DE,Tier 1,50,,7000,No
313,,mercedes-benz-beineke.de,Automotive And Vehicles,DE,Tier 1,50,,7000,No
314,Daimler Truck AG,mercedes-benz-trucks-sondriodiesel.it,Automotive And Vehicles,IT,Tier 1,50,,7000,No
315,Daimler AG,mercedes-benz-leuggern.ch,Automotive And Vehicles,CH,Tier 1,50,,7000,No
316,,mercedes-benz-kestenholzgruppe.de,Automotive And Vehicles,DE,Tier 1,50,,7000,No
317,,mercedes-benz-schmid.de,Automotive And Vehicles,DE,Tier 1,50,,7000,No
318,Daimler Truck AG,mercedes-benz-trucks-rkh.de,Automotive And Vehicles,DE,Tier 1,50,,7000,No
319,Daimler Truck AG,mercedes-benz-trucks-smc.be,Automotive And Vehicles,BE,Tier 1,50,,7000,No
320,Daimler Truck AG,mercedes-benz-trucks-raters.de,Automotive And Vehicles,DE,Tier 1,50,,7000,No
321,Daimler Truck AG,mercedes-benz-trucks-meyer-neustadt.de,Automotive And Vehicles,DE,Tier 1,50,,7000,No
322,Daimler Truck AG,mercedes-benz-trucks-fiegler.de,Automotive And Vehicles,DE,Tier 1,50,,7000,No
323,Daimler Truck AG,mercedes-benz-trucks-uretamotor.es,Automotive And Vehicles,ES,Tier 1,50,,7000,No
324,,mercedes-benz-abel-ruf.de,Automotive And Vehicles,DE,Tier 1,50,,7000,No
325,Daimler Truck AG,mercedes-benz-trucks-soccsantos.pt,Automotive And Vehicles,PT,Tier 1,50,,7000,No
326,Daimler Truck AG,mercedes-benz-trucks-gramling.de,Automotive And Vehicles,DE,Tier 1,50,,7000,No
327,Daimler Truck AG,mercedes-benz-trucks-orad.it,Automotive And Vehicles,IT,Tier 1,50,,7000,No
328,Daimler Truck AG,mercedes-benz-trucks-thomann.ch,Automotive And Vehicles,CH,Tier 1,50,,7000,No
329,Mercedes-Benz AG,mercedes-benz-autokrator.es,Automotive And Vehicles,ES,Tier 1,50,,7000,No
330,,mercedes-benz-burmester.de,Automotive And Vehicles,DE,Tier 1,50,,7000,No
331,,mercedes-benz-bald.de,Automotive And Vehicles,DE,Tier 1,50,,7000,No
332,Daimler Truck AG,mercedes-benz-trucks-schurr.de,Automotive And Vehicles,DE,Tier 1,50,,7000,No
333,Daimler Truck AG,mercedes-benz-trucks-assenheimer-mulfinger.de,Automotive And Vehicles,DE,Tier 1,50,,7000,No
334,MERCEDES-BENZ Group,mercedes-benzofepsom.co.uk,Automotive And Vehicles,GB,Tier 1,50,,7000,No
335,Daimler Truck AG,mercedes-benz-trucks-zorn.de,Automotive And Vehicles,DE,Tier 1,50,,7000,No
336,Daimler Truck AG,mercedes-benz-trucks-kehm.de,Automotive And Vehicles,DE,Tier 1,50,,7000,No
337,Daimler Truck AG,mercedes-benz-trucks-akmikom.rs,Automotive And Vehicles,DE,Tier 1,50,,7000,No
338,Mercedes-Benz AG,mercedes-benz-vipgalicia.es,Automotive And Vehicles,ES,Tier 1,50,,7000,No
339,My Grizzly,mygrizzly.com,Shopping,US,Tier 1,50,,6797,No
340,,imfinzi.ca,Style And Fashion,,Tier 1,50,,6750,No
341,Stanford Blue Shield Facts,stanfordblueshieldfacts.com,Health And Fitness,US,Tier 1,50,,6400,No
342,Dicerna Pharmaceuticals Inc,uncoveringph.com,Health And Fitness,US,Tier 1,50,,6300,No
343,NextPayDay,nextpayday.com.au,Shopping,US,Tier 1,50,,6050,No
344,Tweed Heads Crematorium,tweedheadscrem.com.au,Home And Garden,AU,Tier 1,50,,6000,No
345,Visa,visa.com.uy,Shopping,US,Tier 1,50,,5947,No
346,Stove Health,stovehealth.com,Health And Fitness,GB,Tier 1,50,,5885,No
347,WICKEDCLEANLAUNDRY,wickedcleanlaundry.com,Home And Garden,US,Tier 1,50,,5729,No
348,,crestor.com,Health And Fitness,US,Tier 1,50,,5700,No
349,Keurig Green Mountain Inc,tullys.com,Food And Drink,US,Tier 1,50,,5660,No
350,Faber Range Hoods North America,faberonline.com,Home And Garden,US,Tier 1,50,,5527,No
351,,sixty60.co.za,Food And Drink,ZA,Tier 1,50,,5311,No
352,Griecotoyota.com,griecotoyota.com,Automotive And Vehicles,US,Tier 1,50,,5260,No
353,Mercedes-Benz AG,z-w-mercedes-benz.de,Automotive And Vehicles,DE,Tier 1,50,,5254,No
354,,azmedconnect.in,Health And Fitness,IN,Tier 1,50,,5050,No
355,,lvng.ca,Health And Fitness,,Tier 1,50,,5050,No
356,,understandingio.com,Health And Fitness,,Tier 1,50,,5050,No
357,,giveyourlungsavoice.com,Health And Fitness,,Tier 1,50,,5050,No
358,year Henkel Australia Pty Ltd,coldpower.com.au,Health And Fitness,AU,Tier 1,50,,4960,No
359,,ceresit.rs,Shopping,US,Tier 1,50,,4900,No
360,Henkel Canada Corporation,salonory.ca,Style And Fashion,,Tier 1,50,,4900,No
361,HENKEL ROMANIA S.R.L,ceresit.ro,Home And Garden,,Tier 1,50,,4900,No
362,Brandsma Spanga,brandsmaspanga.nl,Automotive And Vehicles,NL,Tier 1,50,,4695,No
363,Sculpt Your Life,sculptyourlife.ie,Food And Drink,AE,Tier 1,50,,4639,No
364,,whvhandball.de,Sports,DE,Tier 1,50,,4560,No
365,Diamond Paints,diamondpaints.com,Home And Garden,PK,Tier 1,50,,4547,No
366,JugalBakers,jugalbakers.com,Food And Drink,IN,Tier 1,50,,4360,No
367,,sofadex-puratos.ma,Home And Garden,BE,Tier 1,50,,4320,No
368,FleetPartner Se,fleetpartner.de,Automotive And Vehicles,DE,Tier 1,50,,4300,No
369,MOVILSAN Co,movilsan.com,Sports,ES,Tier 1,50,,4200,No
370,,generaltire.com.br,Automotive And Vehicles,BR,Tier 1,50,,4168,No
371,Performance NC,performancenc.ca,Automotive And Vehicles,,Tier 1,50,,4165,No
372,,batvending.ch,Food And Drink,,Tier 1,50,,4100,No
373,Mercedes-Benz,mercedes-benz.com.br,Automotive And Vehicles,BR,Tier 1,50,,4090,No
374,Ganado Feed and More,ganadofeedandmore.com,Shopping,US,Tier 1,50,,3948,No
375,TOYOTA,toyota.zp.ua,Automotive And Vehicles,UA,Tier 1,50,,3850,No
376,Sparkasse Hattingen,sparkasse-hattingen.de,Shopping,DE,Tier 1,50,,3800,No
377,Mercedes-Benz,mercedes-benz.com.eg,Automotive And Vehicles,DE,Tier 1,50,,3740,No
378,Willow Glen Pet Hospital,willowglenpethospital.com,Health And Fitness,US,Tier 1,50,,3639,No
379,,alfaromeousaofontario.com,Automotive And Vehicles,US,Tier 1,50,,3560,No
380,,zodiac-poolcare.it,Automotive And Vehicles,ES,Tier 1,50,,3500,No
381,nivalisconstrucciones.com Inc,nivalisconstrucciones.com,Shopping,,Tier 1,50,,3500,No
382,Toyota Dream Car USA Art Contest,toyotadreamcarusa.com,Automotive And Vehicles,US,Tier 1,50,,3500,No
383,,kohlersignaturestoreparamus.com,Home And Garden,US,Tier 1,50,,3500,No
384,SingHealth Group,cgh.com.sg,Health And Fitness,SG,Tier 1,50,,3500,No
385,,girlvolunteercorps.org,Sports,,Tier 1,50,,3500,No
386,,allianz-worldwide-partners.pt,Automotive And Vehicles,,Tier 1,50,,3500,No
387,,lurefishing.jp,Sports,JP,Tier 1,50,,3500,No
388,AMAG Group AG - Blog,amag-group.blog,Automotive And Vehicles,,Tier 1,50,,3500,No
389,,nmaudio.com.au,Style And Fashion,,Tier 1,50,,3500,No
390,,strollingtablesmiami.com,Sports,US,Tier 1,50,,3500,No
391,Lockheed Martin Corporation,authenticluxurywatches.com,Automotive And Vehicles,,Tier 1,50,,3500,No
392,,samsung-customer.com,Home And Garden,EG,Tier 1,50,,3500,No
393,,haier-customer.com,Home And Garden,EG,Tier 1,50,,3500,No
394,,casiostore.com.cn,Food And Drink,,Tier 1,50,,3500,No
395,Primary Care Plus,primarycareplus.com,Health And Fitness,US,Tier 1,50,,3147,No
396,,brospizzeriabar.com,Food And Drink,US,Tier 1,50,,2022,No
397,Virginia Commonwealth University,muluseo.com,Sports,CN,Tier 1,50,,1770,No
398,jimmydean SE,jimmydean.com,Food And Drink,US,Tier 1,50,,1410,No
399,,jet-net.org,Sports,,Tier 1,50,,1400,No
400,Moteogroup,moteogroup.com,Automotive And Vehicles,BE,Tier 1,50,,1254,No
401,FuneralParlour,funeralparlour.com,Sports,,Tier 1,50,,1063,No
402,,padanauto.it,Automotive And Vehicles,,Tier 1,50,,727,No
403,Alliance Medical,alliancemedical.med.br,Health And Fitness,,Tier 1,50,,677,No
404,William Simpson Cars,williamsimpson.co.za,Automotive And Vehicles,ZA,Tier 1,50,,396,No
405,PJW Electrics,pjwelectrics.com,Home And Garden,GB,Tier 1,50,,322,No
406,Trinity Homes AZ,trinityhomesaz.com,Home And Garden,US,Tier 1,50,,0,No
407,,fiat-kuwait.com,Automotive And Vehicles,US,Tier 1,50,,0,No
408,Atco Blue Flame Kitchen,atcoblueflamekitchen.com,Food And Drink,CA,Tier 1,50,,0,No
409,BOCA MMXII - Official website,bocatime.com,Style And Fashion,MX,Tier 1,50,,0,No
410,The Girlfriend,thegirlfriend.com,Health And Fitness,US,Tier 1,50,,0,No
411,,rhbabyandchild.ca,Home And Garden,,Tier 1,50,,0,No
412,,worthyhealth.com,Food And Drink,,Tier 1,50,,0,No
413,Cokaiina,cokaiina.com,Style And Fashion,AU,Tier 1,50,,0,No
414,Bridgestone Corporation,bridgestone.dk,Automotive And Vehicles,BE,Tier 1,50,,0,No
415,Woburn Toyota,woburntoyota.com,Automotive And Vehicles,US,Tier 1,50,,0,No
416,,palamesanursery.com,Home And Garden,US,Tier 1,50,,0,No
417,BRIDGESTONE BRANDS LLC,bridgestonegolf.com,Style And Fashion,US,Tier 1,50,,0,No
418,,howtogetridofcarpenterants.org,Home And Garden,,Tier 1,50,,0,No
419,,squirrelstashnuts.com,Food And Drink,US,Tier 1,50,,0,No
420,,automaticartisan.com,Automotive And Vehicles,US,Tier 1,50,,0,No
421,HealBerry.com,healberry.com,Health And Fitness,US,Tier 1,50,,0,No
422,,chevroletamerican.com.ar,Automotive And Vehicles,,Tier 1,50,,0,No
423,KMS Hair,kmshair.com,Style And Fashion,AU,Tier 1,50,,0,No
424,KIA MOTORS DEUTSCHLAND GmbH,kia-heinen-dortmund.de,Automotive And Vehicles,DE,Tier 1,50,,0,No
425,holistichealing.space,holistichealing.space,Health And Fitness,US,Tier 1,50,,0,No
426,Deanwood Youth Empowerment Association,dyea.org,Sports,US,Tier 1,50,,0,No
427,CG Autos Wakefield,cgautoswakefield.co.uk,Automotive And Vehicles,GB,Tier 1,50,,0,No
428,,airync.com,Sports,GB,Tier 1,50,,0,No
429,Anheuser Busch LLC,theritas.com,Food And Drink,,Tier 1,50,,0,No
430,Los Angeles Organizing Committee For The Olympic And Paralympic Games 2028,la28.org,Sports,US,Tier 1,50,,0,No
431,,sflplumbingmiami.com,Home And Garden,US,Tier 1,50,,0,No
432,Happydandis,happydandis.com,Shopping,US,Tier 1,50,,0,No
433,,gmparts.com,Automotive And Vehicles,US,Tier 1,50,,0,No
434,Divine Canine,divinecanine.com,Pets,US,Tier 1,50,,0,No
435,,birkhomes.ca,Shopping,CA,Tier 1,50,,0,No
436,Ad Practitioners LLC,getfrontiercard.com,Art And Entertainment,US,Tier 2,45,,37640,No
437,Footlocker.com,footlocker.eu,Art And Entertainment,US,Tier 2,45,,36510,No
438,Bridgestone,bridgestone.cl,Art And Entertainment,US,Tier 2,45,,34915,No
439,Allianz SE,allianz.de,Art And Entertainment,DE,Tier 2,45,,31257,No
440,Cognizant Foundation,cognizantfoundation.org,Education,,Tier 2,45,,26900,No
441,Colpofer,colpofer.org,Art And Entertainment,IT,Tier 2,45,,26800,No
442,Novo Nordisk,novonordisk.ru,Education,RU,Tier 2,35,,24670,No
443,Rocklin Modern Dentistry,rocklinmoderndentistry.com,Art And Entertainment,US,Tier 2,35,,24301,No
444,,exploretfpi.com,Art And Entertainment,DK,Tier 2,35,,23800,No
445,Allianz Handwerker Services,allianz-handwerker.de,Art And Entertainment,DE,Tier 2,35,,23410,No
446,Natural History Museum,nhm.ac.uk,Art And Entertainment,GB,Tier 2,35,,23380,No
447,,sdparks.org,Art And Entertainment,US,Tier 2,35,,22557,No
448,Patheon,patheon.kr,Education,KR,Tier 2,35,,22200,No
449,Simon Fraser University,sfu.ca,Education,CA,Tier 2,35,,21714,No
450,World Vision Canada,worldvision.ca,Art And Entertainment,CA,Tier 2,35,,20852,No
451,year Corteva Agriscience,corteva.com.br,Art And Entertainment,US,Tier 2,35,,20800,No
452,afaa-e-eeafe-cToi,patheon.jp,Education,US,Tier 2,35,,20800,No
453,CBC,cbc.be,Art And Entertainment,BE,Tier 2,35,,20650,No
454,FS News,fsnews.it,Art And Entertainment,IT,Tier 2,35,,20200,No
455,,necrestorationshow.com,Art And Entertainment,GB,Tier 2,35,,20125,No
456,Villanova University,villanova.edu,Education,US,Tier 2,35,,19650,No
457,Japan IT Co. Ltd,japan-it.jp,Education,JP,Tier 2,35,,19354,No
458,Minecraft,minecraft.net,Art And Entertainment,US,Tier 2,35,,17906,No
459,Clube Giro,clubegiro.com.br,Art And Entertainment,BR,Tier 2,35,,17540,No
460,Reed Exhibitions Ltd,londonbookfair.co.uk,Art And Entertainment,GB,Tier 2,35,,17447,No
461,WorldTravelCateringExpo,worldtravelcateringexpo.com,Art And Entertainment,GB,Tier 2,35,,16447,No
462,Wetrust-Study,wetrust-study.com,Education,,Tier 2,35,,16150,No
463,cloudLibrary,yourcloudlibrary.com,Art And Entertainment,,Tier 2,35,,15796,No
464,Activision Publishing Inc,highmoonstudios.com,Education,US,Tier 2,35,,15460,No
465,Reed Exhibitions Ltd,expolux.com.br,Art And Entertainment,BR,Tier 2,35,,14400,No
466,Taylor's University College,taylors.edu.my,Education,MY,Tier 2,35,,12495,No
467,Biogen Japan Ltd,ms-supportnavi.com,Art And Entertainment,JP,Tier 2,35,,12097,No
468,Chris-Craft,chriscraft.com,Art And Entertainment,US,Tier 2,35,,10860,No
469,Novellini S.p.A,novellini.co.uk,Art And Entertainment,GB,Tier 2,35,,10325,No
470,,spktw.de,Art And Entertainment,DE,Tier 2,35,,9850,No
471,,spken.de,Art And Entertainment,DE,Tier 2,35,,9850,No
472,Sparkasse Rhein-Maas,sparkasse-rhein-maas.de,Art And Entertainment,DE,Tier 2,35,,9850,No
473,Novellini S.p.A,novellini.at,Art And Entertainment,AT,Tier 2,35,,9770,No
474,Commercieel - Novellini,novellini.be,Art And Entertainment,BE,Tier 2,35,,9500,No
475,,artsyzpv.com.ua,Art And Entertainment,UA,Tier 2,35,,8565,No
476,Racine School,ecoleracine.com,Art And Entertainment,US,Tier 2,35,,6717,No
477,Stichting Openbare Bibliotheek Barneveld,bibliotheekbarneveld.nl,Art And Entertainment,NL,Tier 2,35,,6263,No
478,ASSA ABLOY Yale,assaabloy.cl,Art And Entertainment,,Tier 2,35,,5700,No
479,Henkel AG & Co,schauma.de,Art And Entertainment,DE,Tier 2,35,,5437,No
480,,digitaldiscoverysummit.com,Art And Entertainment,US,Tier 2,35,,4900,No
481,mie Wibail n.wibailvisit.brussels,visit.brussels,Art And Entertainment,BE,Tier 2,35,,4510,No
482,,vae-clem.fr,Education,,Tier 2,35,,4464,No
483,SheSapiens,shesapiens.com,Art And Entertainment,,Tier 2,35,,4459,No
484,Whatson,whatson.no,Art And Entertainment,,Tier 2,35,,4420,No
485,,emma-cc.com,Art And Entertainment,DE,Tier 2,35,,4150,No
486,Dominik Ketz Rheinland-Pfalz Tourismus GmbH,stadt-hermeskeil.de,Art And Entertainment,IE,Tier 2,35,,4147,No
487,Stichting Openbare Bibliotheek Zoetermeer,bibliotheek-zoetermeer.nl,Art And Entertainment,NL,Tier 2,35,,3850,No
488,AbbVie Ltd,skyrizi.eu,Art And Entertainment,DE,Tier 2,35,,3835,No
489,Dealers Choice LLC,dealerschoicellc.com,Art And Entertainment,US,Tier 2,35,,3834,No
490,,debibliotheekdeplataan.nl,Education,NL,Tier 2,35,,3500,No
491,,gioielleriabracco.com,Art And Entertainment,IT,Tier 2,35,,3500,No
492,Qik co,qik.do,Art And Entertainment,,Tier 2,35,,3500,No
493,,eddychan.org,Art And Entertainment,,Tier 2,35,,3500,No
494,Moog GmbH,moog.no,Art And Entertainment,DE,Tier 2,35,,3500,No
495,Tennessee Shrm State Council Inc,tnshrm.org,Art And Entertainment,US,Tier 2,35,,1352,No
496,,angelyau.com,Art And Entertainment,US,Tier 2,35,,0,No
497,Renuka the Designers,renukathedesigners.com,Art And Entertainment,IN,Tier 2,35,,0,No
498,,barmovies.com,Art And Entertainment,AU,Tier 2,35,,0,No
499,DuPont,dupont.it,Art And Entertainment,IT,Tier 2,35,,0,No
500,,ne2a.org,Art And Entertainment,US,Tier 2,35,,0,No
501,,cross-geek.com,Art And Entertainment,,Tier 2,35,,0,No
502,Fairfield Dentists Dental Group,fairfielddentists.com,Art And Entertainment,US,Tier 2,35,,0,No
503,AVPI,avpi.org.au,Art And Entertainment,AU,Tier 2,35,,0,No
504,TheChateauNightclub.com,thechateaunightclub.com,Art And Entertainment,US,Tier 2,35,,0,No
505,Highlands Pre-school,highlands-preschool.org,Education,US,Tier 2,35,,0,No
506,,13thdistrictame.org,Art And Entertainment,US,Tier 2,35,,0,No
507,Saudi Commission for Tourism & National Heritage,visitsaudi.com,Art And Entertainment,SA,Tier 2,35,,0,No
508,Sanuk Svenska skolan Thailand,svenskaskolanthailand.se,Education,,Tier 2,35,,0,No
509,TD Bank,td.com,Finance,CA,Tier 3,70,43178055,52705,No
510,National Australia Bank,nab.com.au,Finance,AU,Tier 3,70,11493900,71847,No
511,Morgan Stanley,morganstanley.com,Finance,US,Tier 3,70,4700697,101331,No
512,SP Global,spglobal.com,Business And Industrial,US,Tier 3,70,3486096,81523,Yes
513,Avalara Inc,avalara.com,Business And Industrial,US,Tier 3,70,1990002,77700,Yes
514,HUAWEI,huawei.com,Business And Industrial,CN,Tier 3,65,75744731,46820,Yes
515,CVS Caremark,caremark.com,"Law, Govt And Politics",US,Tier 3,65,4498750,56835,Yes
516,Microchip Technology Incorporated,microchip.com,Technology And Computing,US,Tier 3,65,1332073,50164,Yes
517,Miles & More,miles-and-more.com,Technology And Computing,,Tier 3,60,6054821,43622,Yes
518,"Juniper Networks, Inc.",juniper.net,Technology And Computing,US,Tier 3,60,968020,84111,Yes
519,Changi Airport Singapore,changiairport.com,Travel,SG,Tier 3,55,2084724,41893,Yes
520,"F5, Inc.",f5.com,Business And Industrial,US,Tier 3,55,994757,68678,Yes
521,Bristol Myers Squibb,bms.com,Business And Industrial,US,Tier 3,55,809790,63517,Yes
522,Moody's Investors Service Inc,moodys.com,Business And Industrial,US,Tier 3,55,716310,72670,No
523,Constellation Generation Group,constellation.com,Business And Industrial,US,Tier 3,55,528554,50024,No
524,NV Bekaert SA,bekaert.com,Business And Industrial,BE,Tier 3,55,127163,55482,No
525,Flinders University of South Australia,flinders.edu.au,Science,AU,Tier 3,50,938479,43415,Yes
526,Allianz Insurance Australia,allianz.com.au,Technology And Computing,AU,Tier 3,50,903209,49953,Yes
527,Odpbusiness LLC,odpbusiness.com,Business And Industrial,US,Tier 3,50,505137,46419,No
528,Avery Dennison,averydennison.com,Business And Industrial,US,Tier 3,50,322225,44973,No
529,Identity Force,identityforce.com,"Law, Govt And Politics",US,Tier 3,50,125798,44547,No
530,Software Aktiengesellschaft,softwareag.com,Business And Industrial,DE,Tier 3,45,97703,62190,No
531,BlueScope Steel Ltd,bluescope.com,Business And Industrial,AU,Tier 3,40,56082,45920,No
532,Ideal Industries Inc,idealindustries.com,Business And Industrial,,Tier 3,40,10548,44583,No
533,Amazon.com Inc,aboutamazon.com,Business And Industrial,,Tier 3,35,,41637,No
534,Widia Technologies Pvt Ltd,widia.com,Business And Industrial,US,Tier 3,35,,40746,No
535,"Wesco International, Inc.",wesco.com,Business And Industrial,US,Tier 3,35,,40671,No
536,Waukesha Bearings Corporation,inpro-seal.com,Business And Industrial,US,Tier 3,35,,40572,No
537,FLEETCOR,fleetcor.com,Business And Industrial,US,Tier 3,35,,39706,No
538,HealthSmart,healthsmart.com,"Law, Govt And Politics",US,Tier 3,35,,39577,No
539,Nouryon,akzonobel.com,Business And Industrial,NL,Tier 3,35,,39388,No
540,MINI,mini.com.mx,Technology And Computing,MX,Tier 3,35,,39307,No
541,Nutanix,nutanix.cn,Technology And Computing,US,Tier 3,35,,39284,No
542,Armstrong World Industries,armstrongceilings.com,Business And Industrial,US,Tier 3,35,,39040,No
543,BT Group PLC,btwholesale.com,Business And Industrial,US,Tier 3,35,,38888,No
544,Robert Half International,roberthalf.com,Business And Industrial,US,Tier 3,35,,38603,No
545,Corteva,corteva.com.au,Business And Industrial,AU,Tier 3,35,,37750,No
546,University of Sydney,sydney.edu.au,Science,AU,Tier 3,35,,37240,No
547,Cooper US Inc,cooperlighting.com,Business And Industrial,US,Tier 3,35,,36875,No
548,Allianz SE,allianz.pl,"Law, Govt And Politics",PL,Tier 3,35,,36754,No
549,"Pioneer Hi-Bred International, Inc.",pioneer.com,Science,US,Tier 3,35,,36692,No
550,Navico,navico.com,Business And Industrial,US,Tier 3,35,,36354,No
551,,fsvpaymentsystems.com,Business And Industrial,US,Tier 3,35,,36285,No
552,Allianz Nederland,allianz.nl,Business And Industrial,NL,Tier 3,35,,35216,No
553,Dubai Airshow,dubaiairshow.aero,Business And Industrial,GB,Tier 3,35,,35059,No
554,Bose,bose.pe,Technology And Computing,US,Tier 3,35,,35037,No
555,Allianz Seguros,allianz.com.mx,Finance,MX,Tier 3,35,,34671,No
556,Vodafone Idea Ltd,myvi.in,Business And Industrial,IN,Tier 3,35,,34550,No
557,Zions Bancorporation,zionsbank.com,Finance,US,Tier 3,35,,34019,No
558,CeraWeek,ceraweek.com,Business And Industrial,US,Tier 3,35,,33755,No
559,John Lewis Financial Services Ltd,johnlewisfinance.com,Finance,GB,Tier 3,35,,33552,No
560,Allianz SE,allianz.it,Finance,DE,Tier 3,35,,33503,No
561,Sennheiser,sennheiser-hearing.com,Technology And Computing,US,Tier 3,35,,33358,No
562,Allianz Malaysia Berhad,allianz.com.my,Business And Industrial,MY,Tier 3,35,,33010,No
563,proinity LLC,top-db.com,Technology And Computing,,Tier 3,35,,32929,No
564,Enel S.p.A.,enel.com,Business And Industrial,DE,Tier 3,35,,32555,No
565,Mastercard,mastercard.fr,Business And Industrial,,Tier 3,35,,32200,No
566,kwiktripfleet,kwiktripfleet.com,Technology And Computing,US,Tier 3,35,,32030,No
567,Parker & Sons,parkerandsons.com,Technology And Computing,US,Tier 3,35,,32000,No
568,Immobilien Scout GmbH,immobilienscout24.de,Business And Industrial,DE,Tier 3,35,,31860,No
569,HOFER,hofer.si,"Law, Govt And Politics",,Tier 3,35,,31420,No
570,TDS Telecommunications Corporation,tdstelecom.com,Technology And Computing,US,Tier 3,35,,31410,No
571,,fptgroup.com,Technology And Computing,GB,Tier 3,35,,31137,No
572,United HealthCare Services Inc,aarpmedicareplans.com,Business And Industrial,US,Tier 3,35,,31099,No
573,Avis Budget Group,avisbudgetgroup.com,Business And Industrial,US,Tier 3,35,,31074,No
574,Enterprise Car Club Ltd,enterprisecarclub.co.uk,Technology And Computing,GB,Tier 3,35,,31074,No
575,Allmand Bros Inc,allmand.com,Business And Industrial,US,Tier 3,35,,30980,No
576,Mastercard,mastercard.nl,Business And Industrial,US,Tier 3,35,,30970,No
577,Magnolia Health Plan,magnoliahealthplan.com,Technology And Computing,US,Tier 3,35,,30930,No
578,divvyDOSE,divvydose.com,Technology And Computing,US,Tier 3,35,,30577,No
579,www.carelonbehavioralhealth.com,carelonbehavioralhealth.com,"Law, Govt And Politics",US,Tier 3,35,,30522,No
580,Williams Comfort Air,williamscomfortair.com,Business And Industrial,US,Tier 3,35,,30325,No
581,Allianz Ireland,allianz.ie,Business And Industrial,IE,Tier 3,35,,29910,No
582,AIA Company Ltd,aia.co.th,Technology And Computing,CN,Tier 3,35,,29855,No
583,Landis Gyr GmbH,landisgyr.eu,Business And Industrial,BR,Tier 3,35,,29710,No
584,Bose,bose.se,Technology And Computing,NL,Tier 3,35,,29634,No
585,Bose,bose.dk,Technology And Computing,NL,Tier 3,35,,29634,No
586,Solidigm,solidigm.com,Business And Industrial,US,Tier 3,35,,29488,No
587,Shredding Secure Paper Shredding Services,shredit.ie,Business And Industrial,US,Tier 3,35,,29317,No
588,Enterprise Holdings Inc,enterprise.dk,Technology And Computing,DK,Tier 3,35,,29293,No
589,Costco Payment Processing LLC,costcopaymentprocessing.com,Business And Industrial,US,Tier 3,35,,29247,No
590,Novo Nordisk,novonordisk.pl,Technology And Computing,AL,Tier 3,35,,29170,No
591,Bose,bose.pl,Technology And Computing,NL,Tier 3,35,,29097,No
592,Enel S.p.A,enelgreenpower.com,Business And Industrial,DE,Tier 3,35,,29020,No
593,Mr. Plumber,mrplumberatlanta.com,Technology And Computing,US,Tier 3,35,,28838,No
594,Contacta con nosotros,enterprise.es,Technology And Computing,GB,Tier 3,35,,28490,No
595,PNB MetLife,pnbmetlife.com,Finance,IN,Tier 3,35,,28404,No
596,Lee Health Optional Benefits,leehealthoptionalbenefits.com,Finance,US,Tier 3,35,,27990,No
597,Mercer LLC,voluntarybenefitsforchevron.com,Finance,US,Tier 3,35,,27990,No
598,Cook County Voluntary Benefits,cookcountyvoluntarybenefits.com,Finance,US,Tier 3,35,,27990,No
599,FLSmidth Voluntary Benefits,flsmidthvoluntarybenefits.com,Finance,US,Tier 3,35,,27990,No
600,Hearst Voluntary Benefits,hearstvoluntarybenefits.com,Finance,US,Tier 3,35,,27990,No
601,,cupraofficial.eg,Technology And Computing,EG,Tier 3,35,,27905,No
602,PTI Security Systems,ptisecurity.com,Technology And Computing,US,Tier 3,35,,27661,No
603,American Bureau of Shipping,eagle.org,Business And Industrial,US,Tier 3,35,,27653,No
604,Traka Automation Ltd,traka.com,Technology And Computing,US,Tier 3,35,,27278,No
605,YorkStateBank,yorkstatebank.com,Finance,US,Tier 3,35,,27110,No
606,Allianz Insurance Lanka Ltd,allianz.lk,Business And Industrial,LK,Tier 3,35,,26790,No
607,Securian Canada,securiancanada.ca,Finance,CA,Tier 3,35,,26465,No
608,The Beverly Bank,thebeverlybank.com,Finance,US,Tier 3,35,,26450,No
609,Downers Grove Bank & Trust Co,downersgrovebank.com,Finance,US,Tier 3,35,,26450,No
